,solution_id,random_index,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,teff_val,lum_val,class
13162,1635721458409799680,13162,444866222828458368,54.37983676169076,54.1844820446411,16.287794,17.327213,15.2707205,2.0564928,1.0394192,1.0170736,3751.173,1.3716801,K
13167,1635721458409799680,13167,4048975449306038912,273.1822966142185,-31.247231056719706,14.517113,16.560926,13.158589,3.402337,2.0438137,1.3585234,3995.9526,,K
13188,1635721458409799680,13188,490485887977380224,64.52652315207688,67.61026390274526,16.603184,17.490335,15.672424,1.8179111,0.8871517,0.93075943,3933.0,,K
13189,1635721458409799680,13189,6828215255736104064,322.91693618797837,-22.077397974823853,16.477703,16.801628,15.955857,0.84577084,0.32392502,0.5218458,5613.543,,G
13229,1635721458409799680,13229,3331975361259860096,94.28890654446171,12.389009841450585,16.751825,17.438015,15.941702,1.4963131,0.68618965,0.81012344,4390.6665,,K
13239,1635721458409799680,13239,4037216795340212736,269.1509525467551,-37.5522040117943,16.033699,16.721834,15.16263,1.5592041,0.68813515,0.87106895,4358.5,,K
13301,1635721458409799680,13301,4065775235418466560,272.25458604119734,-25.057599724154837,17.016428,18.21731,15.754807,2.4625025,1.200882,1.2616205,3664.1233,,M
13307,1635721458409799680,13307,5977830315458853760,254.40095179995615,-35.53006950523098,16.594376,17.160501,15.584197,1.5763044,0.56612587,1.0101786,4472.0,,K
13309,1635721458409799680,13309,5227040796276383616,179.107325744396,-73.05935678765223,14.155125,14.785139,13.399388,1.3857508,0.6300144,0.75573635,4833.5703,8.994845,K
13310,1635721458409799680,13310,5241301152888917888,162.70353081338482,-63.32026844338572,16.041748,16.55242,15.348252,1.2041674,0.5106716,0.69349575,4893.0,1.0918761,K
13312,1635721458409799680,13312,5634169542353521536,138.2793034467782,-31.64080993296417,15.487109,15.905591,14.904304,1.0012875,0.41848183,0.58280563,5313.5,0.842912,G
13324,1635721458409799680,13324,5413959795922921728,155.04642786863982,-45.45428957049872,16.783813,17.351225,16.08692,1.2643051,0.5674114,0.6968937,4994.5728,0.38762674,K
13341,1635721458409799680,13341,3481928204458244096,172.8183367239984,-30.695054330534454,16.240189,16.711952,15.623183,1.088769,0.4717636,0.61700535,5042.0,0.37106338,K
13355,1635721458409799680,13355,1821234225682599808,297.7304838766667,17.598884536790617,15.125771,15.577057,14.50415,1.0729065,0.45128632,0.6216202,5111.9004,5.3232102,K
13368,1635721458409799680,13368,6715583925991023488,285.97849327053734,-42.298584094963836,16.583939,17.109125,15.916694,1.1924314,0.52518654,0.6672449,5079.75,,K
13369,1635721458409799680,13369,4150840288176059520,272.39198588834915,-11.81226495157559,15.38845,17.703506,13.966676,3.7368307,2.3150568,1.4217739,3621.3633,,M
13396,1635721458409799680,13396,4241639405815407488,295.4405016111543,2.3672464443169177,15.406052,15.906404,14.67075,1.2356539,0.5003519,0.735302,4899.0,1.2880118,K
13399,1635721458409799680,13399,2085850695509191168,300.884208782085,47.804493835073494,16.828442,17.269974,16.207489,1.0624847,0.44153214,0.6209526,5073.677,,K
13412,1635721458409799680,13412,944331989766710528,103.21846397960397,39.0002165480709,16.174719,16.555983,15.627351,0.9286318,0.38126373,0.54736805,5360.0,1.2454315,G
13413,1635721458409799680,13413,3434604532506560000,100.533010356235,29.30491183639866,16.576159,17.078144,15.934496,1.1436481,0.50198555,0.6416626,4959.9697,,K
13415,1635721458409799680,13415,4050171447425873792,270.656492967584,-30.21974943650532,15.780541,16.52513,14.6985,1.8266296,0.7445879,1.0820417,4072.855,,K
13425,1635721458409799680,13425,4471726748093326336,273.23794986781377,5.8645292440194785,16.24908,16.994953,15.410942,1.5840111,0.7458725,0.8381386,4276.0,0.15588392,K
13435,1635721458409799680,13435,2485681574889780736,23.48187339016002,-0.92577679371363,16.981253,17.75894,16.115091,1.6438484,0.7776871,0.86616135,4193.0,0.08803266,K
13438,1635721458409799680,13438,884211724753601920,104.41502375117331,27.410565410699515,17.048075,17.424448,16.507368,0.9170799,0.3763733,0.54070663,5429.7725,,G
13439,1635721458409799680,13439,5598741113049989888,117.72715059316761,-29.89561397677789,15.841285,17.006296,14.762927,2.243369,1.1650114,1.0783577,3803.54,,K
13440,1635721458409799680,13440,1999325078935512832,356.191124125448,58.47023742018728,12.927953,13.31334,12.380011,0.9333296,0.38538742,0.54794216,5333.5874,2.032402,G
13444,1635721458409799680,13444,5840219498874851200,201.32423372383667,-72.66156442404292,13.730389,14.510562,12.877485,1.6330767,0.7801733,0.85290337,4290.75,36.522545,K
13478,1635721458409799680,13478,6217762998392409088,222.41218005850385,-30.287443675343546,17.029718,17.53355,16.336243,1.1973076,0.50383186,0.6934757,4870.19,,K
